name,created_at,sentiment,text
GeniaTou,08/23/21,['neutral'],επιμενει στη συνδεση του εμβολιου με το ισχαιμικο επεισοδιο χαρδαλιας εμβολιο  
GeniaTou,08/23/21,['positive'],που δεν δεχονται να κανουν το εμβολιο.το  σου θα σε συμβουλευα να το κατεβασεις γιατι κινδυνευεις να βρεθεις αντιμετωπος με τον πραγματικο εισαγγελεα στην ελλαδα για διασπορα ψευδων ειδησεων φιλικα
GeniaTou,08/23/21,['neutral'], δεν χρειαζεται καν σημειωσεις τα γραφω ολα μεσω  στο τσιπακι που μου φορεσαν με το  εμβολιο 🤣
GeniaTou,08/23/21,['neutral'],κορονοιος ποιοι και ποτε κανουν την τριτη δοση αποκλειστικα με  εμβολιο 
GeniaTou,08/23/21,['negative'],στις ηπα με την πληρη εγκριση του  εγινε υποχρεωτικος ο εμβολιασμος στον στρατο ας το κανουμε και εμεις και επειτα επιστρατευουμε τους υγειονομικους. ουτε γατα ουτε ζημια ααα και το μισθο τους ολοι εμβολιασμος εμβολιο εμβολιασμενοι
GeniaTou,08/23/21,['negative'],ειτε εμβολιο ειτε οχι παλι με μασκες καταρρεει ο μυθος της χουντοκυβερνησης για προνομια
GeniaTou,08/23/21,['negative'],ρε εσεις δεν ηξερα οτι οσοι καναμε το εμβολιο θα πεθανουμε σε δυο χρονια. αποψε το εμαθα κι αυτο 🤦🤦🤦🤦🤦να βαλουμε κατω τις ημερομηνιες να ξερουμε σε ποιες κηδειες θα παμε κι ποιοι θα ερθουν στις δικες μας.
GeniaTou,08/23/21,['positive'],λες να μαννεψαμε που το εμβολιο μιχαλη ισως μπορει και να φταιει το ντουνλοουντ της τελευταιας δεσμης δονησεων απο το συμπαν να μεν μας εκατσε καλα.
GeniaTou,08/23/21,['negative'],"ουτε ειχαν στην πανδημια κυβερνηση που δεν ηξερε πως λειτουργουν τα εμβολια κι εδινε λαθος εντυπωσεις που εκαναν τον κοσμο να τα φοβαται. δεν εκανε διαφημισεις του στυλ ""κανουμε το εμβολιο για να βγαλουμε αμεσως τις μασκες και να αρχισουμε αγκαλιες και φιλια με τους δικους μας""."
GeniaTou,08/23/21,['negative'],κι εγω εχω κανει το εμβολιο και η γυναικα μου χωρις υποχρεωση και μετα απο πολλη σκεψη νιωθοντας οτι ρισκαρω η ζυγαρια εγειρε υπερ του εμβολιου το παιδι μου ομως δεν θα το κανει κι ας τα σκαω στα μοριακα μονο οταν μου υπογραψουν οτι δεν θα εχει κανενα προβλημα
GeniaTou,08/23/21,['neutral'],οποιος αποφασισει να κανει το εμβολιο εαν δει τον βασιλακοπουλο και την παγωνη στην  το αναβαλει η το ακυρωνει
GeniaTou,08/23/21,['negative'],να μου πει τωρα ενας   η ενας παπας αν δεν κανω το εμβολιο τι ποσοστα εχω στον εδω και εκει κοσμο
GeniaTou,08/23/21,['neutral'],γερμανια υπ. υγειας περιορισμοι για εμβολιασμενους τελος εμβολιο εμβολιασμος κορονοιος  
GeniaTou,08/23/21,['negative'], ρε σατανα αν βγαινει κ σε εμβολιο λυσαμε το προβλημα εμβολιασμου του ου κοσμου.
GeniaTou,08/23/21,['negative'],μαθημα κοινωνικου πολιτισμου για το εμβολιο απο τον τζοκοβιτς… ξεφτιλα οι αριστοι του μωυσεως…  
GeniaTou,08/23/21,['neutral'],κορωνοιος – γαλλια σε αναμονη εγκρισης το νεο εμβολιο με αδρανοποιημενο ιο της  
GeniaTou,08/23/21,['negative'],η εκλεισε ρβ για εμβολιασμο πηγαμε μαζι και μετα το ιστορικο αποφασισαν πως δεν μπορουν να αναλαβουν την ευθυνη να της κανουν το εμβολιο. για πες γι αυτο τι λεει ο αποκλεισμος απο παντου ποια προβλεψη υπαρχει ασε θα σου πω εγω. Καμια
GeniaTou,08/23/21,['positive'],ο εδωσε την πληρη εγκριση για το εμβολιο της  για το τη δευτερα οπως μεταδιδουν αμερικανικα μεσα ψεκια λυσσαξτε ελευθερα εμβολιασμοι κορονοιος
